"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-02-16 ~ 2026-02-15"
"실거래구분 : 상업업무용(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","매수","매도","계약년월","계약일","지분구분","건축년도","해제사유발생일","거래유형","중개사소재지"
"1","경기도 양평군 단월면 덕수리","일반","1**","","계획관리","제2종근린생활","8m미만","73.71","212.00","16,000","7","개인","법인","202602","13","","2023","-","직거래","-"
"2","경기도 용인시 기흥구 지곡동","일반","2**","지삼로201번길","자연녹지","제1종근린생활","8m미만","43.00","109.00","13,000","","개인","개인","202602","13","","2002","-","직거래","-"
"3","경기도 양평군 옥천면 신복리","집합","141-5","신촌길","계획관리","숙박","12m미만","4.50"," ","410","52","법인","개인","202602","12","지분","1988","-","직거래","-"
"4","경기도 포천시 내촌면 소학리","집합","302-1","","계획관리","숙박","12m미만","6.02"," ","600","6","개인","개인","202602","12","지분","1992","-","직거래","-"
"5","경기도 가평군 상면 덕현리","집합","402-10","청군로","자연녹지","숙박","12m미만","5.40"," ","150","2","개인","개인","202602","12","지분","1992","-","직거래","-"
"6","경기도 양평군 옥천면 신복리","집합","141-5","신촌길","계획관리","숙박","12m미만","2.65"," ","764","35","법인","개인","202602","12","지분","1988","-","직거래","-"
"7","경기도 수원시 영통구 이의동","집합","1256-4","","준주거","제1종근린생활","25m미만","27.90"," ","10,300","2","개인","개인","202602","12","","2018","-","중개거래","경기 수원시 영통구"
"8","경기도 양평군 옥천면 신복리","집합","141-5","신촌길","계획관리","숙박","12m미만","2.25"," ","236","14","법인","개인","202602","12","지분","1988","-","직거래","-"
"9","경기도 양평군 옥천면 신복리","집합","141-5","신촌길","계획관리","숙박","12m미만","3.75"," ","2,310","26","법인","개인","202602","12","지분","1988","-","직거래","-"
"10","경기도 양평군 옥천면 신복리","집합","141-5","신촌길","계획관리","숙박","12m미만","2.25"," ","236","34","법인","개인","202602","12","지분","1988","-","직거래","-"
"11","경기도 안양시 동안구 호계동","집합","1327","갈산로","제3종일반주거","제2종근린생활","-","28.00"," ","18,723","","개인","법인","202602","12","","2023","-","직거래","-"
"12","경기도 용인시 기흥구 영덕동","집합","986-1","흥덕1로79번길","일반상업","제2종근린생활","25m미만","35.26"," ","6,470","2","개인","개인","202602","12","지분","2009","-","직거래","-"
"13","경기도 용인시 기흥구 영덕동","집합","986-1","흥덕1로79번길","일반상업","제2종근린생활","25m미만","72.62"," ","13,300","2","개인","개인","202602","12","지분","2009","-","직거래","-"
"14","경기도 용인시 기흥구 영덕동","집합","986-1","흥덕1로79번길","일반상업","제2종근린생활","25m미만","25.81"," ","4,730","","개인","개인","202602","12","지분","2009","-","직거래","-"
"15","경기도 양평군 옥천면 신복리","집합","141-5","신촌길","계획관리","숙박","12m미만","4.50"," ","410","13","법인","개인","202602","12","지분","1988","-","직거래","-"
"16","경기도 양평군 옥천면 신복리","집합","141-5","신촌길","계획관리","숙박","12m미만","3.75"," ","2,900","","법인","법인","202602","12","지분","1988","-","직거래","-"
"17","경기도 양평군 옥천면 신복리","집합","141-5","신촌길","계획관리","숙박","12m미만","2.25"," ","236","23","법인","개인","202602","12","지분","1988","-","직거래","-"
"18","경기도 화성동탄구 오산동","집합","981-1","동탄감배산로","중심상업","제2종근린생활","25m이상","29.81"," ","51,700","1","개인","법인","202602","12","","2025","-","직거래","-"
"19","경기도 의정부시 장암동","일반","2**","동일로122번길","제1종일반주거","제2종근린생활","8m미만","90.00","159.00","30,000","","개인","개인","202602","12","","2018","-","중개거래","서울 도봉구"
"20","경기도 고양시 덕양구 화정동","집합","975-3","백양로","중심상업","업무","25m미만","28.49"," ","8,500","15","개인","개인","202602","12","","2003","-","중개거래","경기 고양시 덕양구"
"21","경기도 수원시 권선구 고색동","집합","1094","산업로","일반공업","제1종근린생활","25m이상","43.00"," ","8,800","4","개인","개인","202602","12","","2018","-","중개거래","경기 수원시 권선구"
"22","경기도 광명시 하안동","집합","34-2","하안로","일반상업","제1종근린생활","25m미만","4.95"," ","3,076","1","개인","개인","202602","11","지분","","-","중개거래","경기 수원시 장안구"
"23","경기도 화성만세구 향남읍 백토리","일반","4**","토성로","계획관리","제1종근린생활","8m미만","165.00","831.00","60,000","","법인","개인","202602","11","","2021","-","직거래","-"
"24","경기도 성남시 수정구 태평동","집합","7183-6","모란로","제2종일반주거","제2종근린생활","12m미만","57.21"," ","25,000","1","개인","개인","202602","11","","2008","-","직거래","-"
"25","경기도 안산시 단원구 고잔동","집합","529-4","고잔2길","중심상업","제1종근린생활","12m미만","19.65"," ","4,000","5","개인","개인","202602","11","","2002","-","중개거래","경기 안산시 단원구"
"26","경기도 성남시 분당구 금곡동","집합","171","성남대로171번길","중심상업","업무","25m미만","36.36"," ","17,500","5","개인","개인","202602","11","","2003","-","중개거래","경기 성남시 분당구"
"27","경기도 안산시 단원구 초지동","집합","743-4","원포공원1로","준주거","제1종근린생활","25m미만","50.40"," ","11,000","1","개인","개인","202602","11","","2003","-","직거래","-"
"28","경기도 안산시 단원구 초지동","집합","743-4","원포공원1로","준주거","제1종근린생활","25m미만","48.00"," ","11,000","1","개인","개인","202602","11","","2003","-","직거래","-"
"29","경기도 수원시 장안구 정자동","집합","9-2","송정로","일반상업","업무","25m미만","14.07"," ","4,047","3","법인","개인","202602","11","","1994","-","직거래","-"
