"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-02-16 ~ 2026-02-15"
"실거래구분 : 상업업무용(매매)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","매수","매도","계약년월","계약일","지분구분","건축년도","해제사유발생일","거래유형","중개사소재지"
"1","대전광역시 서구 둔산동","집합","1380-1","둔산북로","중심상업","제1종근린생활","25m미만","41.67"," ","2,850","","개인","개인","202602","13","","2000","-","중개거래","대전 서구"
"2","대전광역시 서구 내동","집합","11-6","동서대로1079번길","제2종일반주거","판매","8m미만","32.40"," ","4,200","","개인","개인","202602","12","","1984","-","직거래","-"
"3","대전광역시 동구 대별동","일반","9*","산서로","제1종일반주거","제2종근린생활","12m미만","196.99","382.00","67,000","","법인","개인","202602","11","","2020","-","중개거래","대전 동구"
"4","대전광역시 서구 둔산동","집합","1434","둔산중로32번길","중심상업","숙박","12m미만","22.38"," ","3,000","10","개인","개인","202602","10","","2016","-","직거래","-"
"5","대전광역시 서구 둔산동","집합","1462","둔산중로58번길","중심상업","숙박","12m미만","18.66"," ","4,000","6","개인","개인","202602","10","","2016","-","중개거래","대전 서구"
"6","대전광역시 대덕구 상서동","일반","3**","덕암로","자연녹지","제2종근린생활","8m미만","128.90","338.00","59,000","","법인","개인","202602","10","","2014","-","중개거래","대전 유성구"
"7","대전광역시 중구 유천동","집합","10-12","","제3종일반주거","제2종근린생활","25m이상","14.97"," ","1,200","","개인","개인","202602","10","","","-","중개거래","대전 서구"
"8","대전광역시 서구 만년동","집합","381","둔산대로117번길","준주거","업무","25m미만","45.45"," ","8,200","12","법인","개인","202602","09","","1998","-","중개거래","대전 서구"
"9","대전광역시 동구 원동","일반","4*","중앙로200번길","일반상업","판매","25m이상","56.83","19.14","2,700","","개인","개인","202602","09","지분","","-","직거래","-"
"10","대전광역시 동구 가오동","집합","557","은어송로","준주거","판매","25m이상","16.62"," ","13,824","37","법인","개인","202602","06","","2008","-","직거래","-"
"11","대전광역시 대덕구 읍내동","일반","5**","계족로740번길","제2종일반주거","제2종근린생활","12m미만","426.71","192.60","74,200","","개인","개인","202602","06","","2002","-","직거래","-"
"12","대전광역시 서구 둔산동","집합","1403","둔산중로","중심상업","숙박","25m이상","20.04"," ","3,800","5","개인","개인","202602","05","","2013","-","직거래","-"
"13","대전광역시 서구 도안동","집합","851","동서대로","준주거","제1종근린생활","25m이상","106.70"," ","25,000","4","개인","법인","202602","05","","2014","-","중개거래","대전 서구"
"14","대전광역시 중구 사정동","일반","3**","대둔산로323번길","제2종일반주거","제1종근린생활","12m미만","62.40","314.20","50,000","","법인","개인","202602","05","","2011","-","직거래","-"
"15","대전광역시 중구 선화동","집합","152-1","대종로","일반상업","제2종근린생활","25m이상","39.24"," ","7,200","2","법인","개인","202602","05","","","-","중개거래","대전 중구"
"16","대전광역시 유성구 도룡동","집합","4-30","엑스포로123번길","일반상업","제2종근린생활","25m이상","35.91"," ","38,500","","법인","법인","202602","04","","2018","-","직거래","-"
"17","대전광역시 유성구 도룡동","집합","4-30","엑스포로123번길","일반상업","제2종근린생활","25m이상","36.08"," ","37,500","","법인","법인","202602","04","","2018","-","직거래","-"
"18","대전광역시 유성구 도룡동","집합","4-30","엑스포로123번길","일반상업","제2종근린생활","25m이상","36.72"," ","39,500","","법인","법인","202602","04","","2018","-","직거래","-"
"19","대전광역시 중구 문화동","일반","5**","보문산로227번안길","제1종일반주거","제2종근린생활","8m미만","98.61","226.00","50,500","","개인","개인","202602","04","","2017","-","직거래","-"
"20","대전광역시 중구 대흥동","일반","2**","충무로","제2종일반주거","제1종근린생활","25m이상","1045.08","293.00","103,250","","법인","개인","202602","04","","","-","중개거래","대전 중구"
