"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-02-16 ~ 2026-02-15"
"실거래구분 : 상업업무용(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","매수","매도","계약년월","계약일","지분구분","건축년도","해제사유발생일","거래유형","중개사소재지"
"1","서울특별시 영등포구 영등포동3가","집합","9-13","영중로","일반상업","판매","25m이상","4.96"," ","2,500","","개인","개인","202602","13","","2005","-","직거래","-"
"2","서울특별시 금천구 시흥동","집합","985-8","시흥대로","준공업","제1종근린생활","25m이상","34.20"," ","6,500","","개인","개인","202602","13","지분","1978","-","직거래","-"
"3","서울특별시 도봉구 창동","집합","731-121","도봉로134길","준주거","제2종근린생활","8m미만","49.17"," ","5,000","2","법인","법인","202602","13","","2020","-","직거래","-"
"4","서울특별시 은평구 불광동","집합","90-55","연서로","제2종일반주거","제1종근린생활","8m미만","27.75"," ","13,000","1","개인","개인","202602","13","","2023","-","직거래","-"
"5","서울특별시 용산구 원효로4가","일반","1**","원효로","제2종일반주거","제2종근린생활","25m이상","53.62","31.70","90,000","","개인","개인","202602","12","","1985","-","중개거래","서울 용산구"
"6","서울특별시 성북구 정릉동","집합","165-93","정릉로27길","제2종일반주거","제2종근린생활","8m미만","33.70"," ","8,900","1","개인","개인","202602","12","","2023","-","직거래","-"
"7","서울특별시 중구 순화동","집합","151","칠패로","일반상업","숙박","25m이상","32.06"," ","25,000","","개인","개인","202602","12","","2007","-","중개거래","서울 중구"
"8","서울특별시 서대문구 북가좌동","집합","338-19","증가로32안길","제2종일반주거","판매","25m미만","5.62"," ","2,200","","개인","개인","202602","12","","1977","-","직거래","-"
"9","서울특별시 성동구 홍익동","집합","298","무학로8길","제2종일반주거","제2종근린생활","8m미만","36.80"," ","26,000","2","법인","개인","202602","12","","2019","-","직거래","-"
"10","서울특별시 영등포구 여의도동","집합","45-5","의사당대로1길","일반상업","업무","25m미만","53.58"," ","39,500","14","법인","개인","202602","12","","1999","-","중개거래","서울 영등포구"
"11","서울특별시 강동구 길동","집합","385-10","양재대로111길","일반상업","제2종근린생활","25m미만","13.98"," ","25,200","1","개인","개인","202602","12","지분","2022","-","직거래","-"
"12","서울특별시 서초구 서초동","집합","1718-4","법원로1길","제2종일반주거","업무","12m미만","12.17"," ","7,480","3","개인","개인","202602","12","지분","1990","-","직거래","-"
"13","서울특별시 동작구 노량진동","집합","325","만양로","제3종일반주거","제1종근린생활","25m미만","16.89"," ","7,500","1","개인","개인","202602","11","","2001","-","중개거래","서울 동작구"
"14","서울특별시 영등포구 여의도동","집합","44-16","여의대방로67길","일반상업","업무","25m미만","54.45"," ","45,500","","개인","개인","202602","11","","","-","중개거래","서울 도봉구, 서울 영등포구"
"15","서울특별시 금천구 가산동","집합","691","가산디지털1로","준공업","업무","25m미만","44.55"," ","21,700","19","법인","개인","202602","11","","2018","-","중개거래","서울 금천구"
"16","서울특별시 영등포구 영등포동3가","집합","9-13","영중로","일반상업","판매","25m이상","4.96"," ","2,500","40","개인","개인","202602","11","","2005","-","직거래","-"
"17","서울특별시 영등포구 영등포동3가","집합","9-13","영중로","일반상업","판매","25m이상","4.96"," ","2,500","","개인","개인","202602","11","","2005","-","직거래","-"
"18","서울특별시 광진구 군자동","일반","6*","군자로","제1종일반주거","제1종근린생활","25m미만","975.78","387.00","450,000","","법인","개인","202602","11","","1999","-","중개거래","서울 강남구"
"19","서울특별시 노원구 중계동","일반","5**","동일로203가길","일반상업","판매","25m미만","66.12","9.32","4,800","","개인","개인","202602","11","지분","1991","-","직거래","-"
"20","서울특별시 강남구 개포동","집합","186-1","삼성로","일반상업","제1종근린생활","25m이상","15.47"," ","12,240","","개인","개인","202602","10","지분","1984","-","중개거래","서울 강남구"
"21","서울특별시 노원구 상계동","집합","292-1","노해로","준주거","제1종근린생활","25m이상","3.90"," ","2,000","40","법인","개인","202602","10","","2005","-","중개거래","서울 노원구"
"22","서울특별시 강남구 개포동","집합","186-1","삼성로","일반상업","제2종근린생활","25m이상","11.51"," ","9,100","","개인","개인","202602","10","지분","1984","-","중개거래","서울 강남구"
"23","서울특별시 광진구 광장동","집합","484","아차산로70길","제3종일반주거","제1종근린생활","25m이상","8.82"," ","10,000","2","개인","개인","202602","10","","1990","-","중개거래","서울 광진구"
"24","서울특별시 영등포구 영등포동3가","집합","9-13","영중로","일반상업","판매","25m이상","4.96"," ","6,500","10","법인","개인","202602","10","","2005","-","직거래","-"
"25","서울특별시 강북구 우이동","집합","346","삼양로","자연녹지","숙박","12m미만","14.02"," ","19,500","3","개인","개인","202602","10","지분","2021","-","직거래","-"
"26","서울특별시 노원구 상계동","집합","292-1","노해로","준주거","제1종근린생활","25m이상","3.90"," ","2,000","40","법인","개인","202602","10","","2005","-","중개거래","서울 노원구"
"27","서울특별시 서초구 서초동","집합","1445-3","효령로","일반상업","판매","25m이상","12.10"," ","9,000","","개인","개인","202602","10","","1997","-","직거래","-"
"28","서울특별시 관악구 신림동","일반","2**","신림로11길","제2종일반주거","제2종근린생활","8m미만","479.25","223.00","162,000","","개인","개인","202602","09","","","-","중개거래","서울 동대문구"
"29","서울특별시 송파구 가락동","집합","96-1","송파대로32길","제3종일반주거","판매","12m미만","24.40"," ","70,000","1","개인","개인","202602","09","","1986","-","중개거래","서울 송파구"
"30","서울특별시 관악구 신림동","집합","255-189","대학20길","제2종일반주거","제1종근린생활","8m미만","19.44"," ","5,000","2","개인","개인","202602","09","","1991","-","직거래","-"
"31","서울특별시 송파구 문정동","집합","651-6","법원로8길","일반상업","업무","25m이상","35.29"," ","28,700","10","개인","개인","202602","09","","2018","-","중개거래","서울 송파구"
"32","서울특별시 용산구 원효로1가","집합","26-33","백범로77길","제2종일반주거","제2종근린생활","12m미만","31.09"," ","48,000","2","개인","개인","202602","09","","2008","-","중개거래","서울 용산구"
"33","서울특별시 서대문구 대현동","집합","145","이화여대1길","일반상업","판매","12m미만","3.80"," ","4,400","30","법인","개인","202602","09","","2007","-","직거래","-"
"34","서울특별시 강남구 대치동","집합","1019-15","삼성로","제3종일반주거","제1종근린생활","25m이상","34.86"," ","101,500","1","법인","개인","202602","09","","1983","-","직거래","-"
"35","서울특별시 서대문구 창천동","집합","29-81","신촌로","일반상업","판매","25m이상","23.78"," ","9,500","","개인","개인","202602","09","지분","2005","-","직거래","-"
"36","서울특별시 양천구 목동","집합","923-14","목동동로","일반상업","업무","25m이상","51.33"," ","25,000","13","개인","개인","202602","09","","2000","-","중개거래","서울 양천구"
"37","서울특별시 동대문구 제기동","집합","1140-5","왕산로","일반상업","판매","25m이상","9.01"," ","2,000","","개인","개인","202602","09","","2007","-","직거래","-"
"38","서울특별시 서대문구 홍제동","집합","156-384","모래내로24나길","제1종일반주거","제2종근린생활","8m미만","21.60"," ","17,000","1","개인","개인","202602","09","","2022","-","중개거래","서울 서대문구"
"39","서울특별시 도봉구 방학동","집합","720-33","마들로","준공업","제1종근린생활","25m이상","132.60"," ","45,000","2","개인","개인","202602","09","","2003","-","중개거래","서울 도봉구"
"40","서울특별시 중랑구 망우동","집합","514-16","봉우재로59길","제3종일반주거","제1종근린생활","8m미만","104.66"," ","34,000","2","개인","법인","202602","09","","2016","-","중개거래","서울 중랑구"
"41","서울특별시 서대문구 대현동","집합","145","이화여대1길","일반상업","판매","12m미만","3.80"," ","4,400","30","법인","개인","202602","09","","2007","-","직거래","-"
"42","서울특별시 중구 인현동2가","일반","*","창경궁로","일반상업","제1종근린생활","25m이상","149.60","163.17","600,000","","법인","개인","202602","09","","1986","-","직거래","-"
"43","서울특별시 광진구 광장동","집합","145-8","아차산로","제2종일반주거","판매","25m이상","15.91"," ","42,000","2","법인","개인","202602","07","","","-","중개거래","서울 광진구"
"44","서울특별시 도봉구 쌍문동","집합","59-5","시루봉로","제3종일반주거","제2종근린생활","25m미만","19.52"," ","10,000","1","개인","개인","202602","07","","2002","-","중개거래","서울 도봉구"
