"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2023-02-16 ~ 2024-02-15"
"실거래구분 : 상업업무용(매매)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","매수","매도","계약년월","계약일","지분구분","건축년도","해제사유발생일","거래유형","중개사소재지"
"1","인천광역시 남동구 구월동","일반","1***","당좌로5번길","제2종일반주거","제2종근린생활","12m미만","126.33","90.10","29,800","","개인","법인","202402","15","","2022","20240220","중개거래","인천 미추홀구"
"2","인천광역시 중구 신흥동1가","집합","34-29","인중로108번길","일반상업","제1종근린생활","12m미만","51.84"," ","40,000","1","개인","개인","202402","15","","2022","-","직거래","-"
"3","인천광역시 미추홀구 도화동","일반","4**","한나루로586번길","일반상업","제2종근린생활","8m미만","235.44","251.00","90,000","","개인","개인","202402","15","","1974","-","중개거래","인천 미추홀구"
"4","인천광역시 서구 마전동","집합","1055-1","원당대로685번길","제3종일반주거","제1종근린생활","25m미만","32.40"," ","7,000","2","개인","개인","202402","15","","2004","-","중개거래","인천 서구"
"5","인천광역시 남동구 구월동","집합","1450","인하로507번길","일반상업","업무","12m미만","10.20"," ","1,500","3","개인","개인","202402","15","","2003","-","직거래","-"
"6","인천광역시 중구 신흥동1가","집합","34-34","인중로","일반상업","제1종근린생활","25m이상","58.50"," ","31,000","1","개인","개인","202402","15","","2022","-","직거래","-"
"7","인천광역시 부평구 부평동","집합","962","동수천로","제2종일반주거","제1종근린생활","-","38.08"," ","55,438","1","개인","법인","202402","15","","2023","20240222","직거래","-"
"8","인천광역시 부평구 부평동","집합","252-29","부흥로304번길","일반상업","제2종근린생활","12m미만","14.42"," ","1,600","","개인","개인","202402","15","","","-","중개거래","인천 부평구"
"9","인천광역시 중구 신흥동1가","집합","34-29","인중로108번길","일반상업","제1종근린생활","12m미만","58.32"," ","45,000","1","개인","개인","202402","15","","2022","-","직거래","-"
"10","인천광역시 중구 신흥동1가","집합","34-34","인중로","일반상업","제1종근린생활","25m이상","63.18"," ","41,000","1","개인","개인","202402","15","","2022","-","직거래","-"
"11","인천광역시 중구 신흥동1가","집합","34-29","인중로108번길","일반상업","제1종근린생활","12m미만","58.73"," ","45,000","1","개인","개인","202402","15","","2022","-","직거래","-"
"12","인천광역시 서구 마전동","집합","1055-1","원당대로685번길","제3종일반주거","제1종근린생활","25m미만","26.64"," ","5,500","2","개인","개인","202402","15","","2004","-","중개거래","인천 서구"
"13","인천광역시 계양구 계산동","집합","1086-2","용종로","준주거","제2종근린생활","25m이상","312.28"," ","37,500","1","개인","개인","202402","14","지분","1997","-","직거래","-"
"14","인천광역시 부평구 산곡동","집합","519","원적로287번길","제2종일반주거","제2종근린생활","25m미만","23.41"," ","18,497","1","개인","법인","202402","14","","2022","-","직거래","-"
"15","인천광역시 연수구 옥련동","집합","199-3","독배로","제3종일반주거","제2종근린생활","25m이상","74.70"," ","20,500","4","개인","법인","202402","14","","2018","-","중개거래","인천 연수구"
"16","인천광역시 부평구 십정동","집합","170-46","","준주거","업무","25m이상","18.35"," ","3,700","9","개인","개인","202402","13","","","-","중개거래","인천 남동구"
"17","인천광역시 중구 운남동","집합","1603-3","흰바위로232번길","일반상업","제2종근린생활","25m미만","39.00"," ","80,813","1","법인","법인","202402","13","","2022","-","직거래","-"
"18","인천광역시 서구 가좌동","일반","1**","가정로152번길","제1종일반주거","제1종근린생활","25m이상","261.19","133.20","60,000","","개인","개인","202402","13","","1994","-","중개거래","인천 서구"
"19","인천광역시 연수구 동춘동","집합","939","앵고개로206번길","제2종일반주거","제2종근린생활","25m이상","112.18"," ","26,000","2","개인","개인","202402","13","","1992","-","중개거래","인천 연수구"
"20","인천광역시 중구 중산동","집합","1955-1","은하수로29번길","일반상업","숙박","25m미만","22.95"," ","300","8","개인","개인","202402","13","","2017","-","직거래","-"
"21","인천광역시 서구 석남동","집합","579-4","건지로","제2종일반주거","제1종근린생활","25m이상","145.75"," ","27,000","2","개인","개인","202402","13","","1984","20240228","중개거래","인천 서구"
"22","인천광역시 중구 운남동","집합","1603-3","흰바위로232번길","일반상업","제2종근린생활","25m미만","39.00"," ","80,813","1","법인","법인","202402","13","","2022","-","직거래","-"
"23","인천광역시 미추홀구 숭의동","일반","1**","석정로","제2종일반주거","제1종근린생활","25m이상","431.12","116.00","27,683","","개인","개인","202402","13","지분","1991","-","직거래","-"
"24","인천광역시 중구 중산동","집합","1886-4","하늘별빛로65번길","중심상업","숙박","25m미만","21.70"," ","6,000","15","개인","개인","202402","12","","2021","-","직거래","-"
"25","인천광역시 중구 중산동","집합","1886-4","하늘별빛로65번길","중심상업","숙박","25m미만","21.70"," ","6,000","15","개인","개인","202402","12","","2021","-","직거래","-"
"26","인천광역시 부평구 부평동","일반","5**","부평문화로106번길","일반상업","숙박","12m미만","840.51","280.50","190,000","","개인","개인","202402","10","","","-","중개거래","인천 부평구"
"27","인천광역시 미추홀구 주안동","일반","1***","미추홀대로578번길","제2종일반주거","기타","12m미만","338.40","144.10","50,500","","개인","개인","202402","08","","2007","-","중개거래","인천 미추홀구"
