"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-02-16 ~ 2026-02-15"
"실거래구분 : 상업업무용(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","매수","매도","계약년월","계약일","지분구분","건축년도","해제사유발생일","거래유형","중개사소재지"
"1","충청북도 음성군 감곡면 문촌리","일반","6*","가곡로","계획관리","제2종근린생활","12m미만","96.00","853.00","25,600","","개인","개인","202602","12","","2006","-","직거래","-"
"2","충청북도 청주시 청원구 내덕동","일반","4*","덕벌로41번길","제1종일반주거","제2종근린생활","12m미만","494.32","292.00","43,000","","개인","개인","202602","11","","2002","-","직거래","-"
"3","충청북도 청주시 청원구 북이면 장양리","일반","*","","계획관리","제1종근린생활","8m미만","918.67","5015.00","50,140","","법인","개인","202602","10","","2011","-","직거래","-"
"4","충청북도 단양군 단양읍 상진리","집합","4-1","삼봉로","자연녹지","숙박","25m미만","1.70"," ","250","6","개인","개인","202602","10","지분","2004","-","직거래","-"
"5","충청북도 충주시 앙성면 돈산리","집합","155-1","산전장수1길","계획관리","숙박","8m미만","4.75"," ","380","40","개인","개인","202602","09","지분","1997","-","직거래","-"
"6","충청북도 청주시 흥덕구 서촌동","일반","5**","강촌로","자연녹지","제1종근린생활","8m미만","272.39","1023.00","85,360","","법인","개인","202602","05","","2016","-","중개거래","충북 청주시 청원구"
"7","충청북도 청주시 상당구 남주동","일반","5**","남사로","일반상업","제1종근린생활","8m미만","258.16","171.20","19,000","","개인","개인","202602","04","","1994","-","중개거래","충북 청주시 상당구"
"8","충청북도 청주시 청원구 오창읍 양청리","집합","808-2","중부로","일반상업","숙박","25m미만","26.21"," ","9,000","10","법인","법인","202602","04","","2017","-","직거래","-"
"9","충청북도 청주시 흥덕구 봉명동","일반","9**","봉명로191번길","제2종일반주거","제1종근린생활","25m미만","426.47","146.05","44,000","","개인","개인","202602","04","지분","","-","직거래","-"
"10","충청북도 음성군 대소면 오산리","집합","101-4","산내로","일반상업","제1종근린생활","25m미만","106.50"," ","3,000","","개인","개인","202602","04","","1999","-","직거래","-"
"11","충청북도 청주시 흥덕구 신대동","일반","2**","미호로307번길","자연녹지","제2종근린생활","8m미만","358.00","1875.00","56,700","","법인","개인","202602","04","","2015","-","직거래","-"
"12","충청북도 청주시 청원구 사천동","집합","48-1","2순환로","자연녹지","판매","25m이상","52.26"," ","16,746","2","개인","법인","202602","03","","2002","-","직거래","-"
"13","충청북도 청주시 청원구 사천동","집합","48-1","2순환로","자연녹지","판매","25m이상","59.28"," ","23,464","1","개인","법인","202602","03","","2002","-","직거래","-"
"14","충청북도 충주시 성서동","집합","497","사직로","일반상업","제2종근린생활","25m미만","56.70"," ","2,950","","개인","개인","202602","03","","1996","-","직거래","-"
"15","충청북도 청주시 흥덕구 오송읍 봉산리","집합","996","오송생명11로","일반상업","제1종근린생활","25m이상","49.56"," ","27,821","4","개인","법인","202602","02","","2024","-","직거래","-"
"16","충청북도 청주시 청원구 사천동","집합","48-1","2순환로","자연녹지","판매","25m이상","59.28"," ","23,387","1","법인","법인","202602","02","","2002","-","직거래","-"
"17","충청북도 청주시 청원구 사천동","집합","48-1","2순환로","자연녹지","판매","25m이상","52.26"," ","16,713","2","법인","법인","202602","02","","2002","-","직거래","-"
"18","충청북도 청주시 청원구 사천동","집합","48-1","2순환로","자연녹지","판매","25m이상","59.28"," ","23,717","1","법인","법인","202602","02","","2002","-","직거래","-"
"19","충청북도 청주시 청원구 사천동","집합","48-1","2순환로","자연녹지","판매","25m이상","52.26"," ","16,873","2","법인","법인","202602","02","","2002","-","직거래","-"
