"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-02-16 ~ 2025-02-15"
"실거래구분 : 상업업무용(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","매수","매도","계약년월","계약일","지분구분","건축년도","해제사유발생일","거래유형","중개사소재지"
"1","경기도 성남시 분당구 삼평동","집합","652","대왕판교로606번길","중심상업","업무","25m이상","83.46"," ","107,000","5","개인","개인","202502","15","","2011","-","중개거래","경기 성남시 분당구"
"2","경기도 성남시 수정구 태평동","집합","5113-9","성남대로","제2종일반주거","제2종근린생활","25m이상","158.67"," ","10,000","","개인","개인","202502","15","지분","1995","-","직거래","-"
"3","경기도 성남시 분당구 서현동","집합","269-2","분당로53번길","중심상업","제2종근린생활","25m미만","89.25"," ","41,000","3","개인","개인","202502","15","","1998","-","중개거래","경기 성남시 분당구"
"4","경기도 광주시 경안동","집합","25-3","광주대로","준주거","제1종근린생활","25m이상","10.38"," ","3,200","2","개인","개인","202502","15","","2009","-","직거래","-"
"5","경기도 시흥시 정왕동","집합","1861-7","정왕대로","일반상업","판매","25m이상","25.50"," ","3,000","1","개인","법인","202502","15","지분","","-","직거래","-"
"6","경기도 수원시 장안구 천천동","집합","528-3","만석로19번길","준주거","제2종근린생활","25m이상","12.83"," ","2,000","","법인","개인","202502","15","","2001","-","중개거래","경기 수원시 장안구"
"7","경기도 수원시 장안구 천천동","집합","528-3","만석로19번길","준주거","제2종근린생활","25m이상","135.58"," ","29,000","","법인","개인","202502","15","","2001","-","중개거래","경기 수원시 장안구"
"8","경기도 파주시 금촌동","집합","986-2","금빛로","일반상업","제2종근린생활","25m미만","131.74"," ","19,000","2","개인","개인","202502","15","","2005","-","중개거래","경기 파주시"
"9","경기도 안양시 만안구 안양동","집합","533-6","만안로","일반상업","제2종근린생활","25m미만","111.40"," ","15,000","2","법인","개인","202502","15","","2009","-","직거래","-"
"10","경기도 포천시 일동면 기산리","일반","9*","화동로1063번길","준주거","제1종근린생활","8m미만","494.87","188.00","50,500","","개인","개인","202502","15","","1991","-","중개거래","경기 포천시"
"11","경기도 가평군 청평면 상천리","일반","1***","수리재길","계획관리","제2종근린생활","8m미만","187.23","466.00","19,500","","개인","개인","202502","15","","1997","20250320","중개거래","경기 가평군"
"12","경기도 가평군 청평면 상천리","일반","1***","수리재길","계획관리","제2종근린생활","8m미만","187.23","304.00","12,721","","개인","개인","202502","15","","1997","-","중개거래","경기 가평군"
"13","경기도 김포시 고촌읍 향산리","일반","4**","금파로378번길","농림","제2종근린생활","8m미만","396.00","1939.00","251,000","","법인","개인","202502","15","","","-","중개거래","경기 김포시"
"14","경기도 양주시 백석읍 가업리","일반","1*","중앙로223번길","자연녹지","기타","8m미만","1878.91","1454.00","305,000","","개인","개인","202502","15","","2006","-","직거래","-"
"15","경기도 성남시 중원구 성남동","일반","4***","산성대로","제2종일반주거","제2종근린생활","25m이상","1185.76","372.00","394,000","","개인","개인","202502","14","","1991","-","직거래","-"
"16","경기도 용인시 수지구 풍덕천동","일반","5**","포은대로","준주거","판매","25m이상","2121.06","971.00","786,900","","개인","법인","202502","14","","2010","-","중개거래","경기 용인시 수지구"
"17","경기도 용인시 기흥구 신갈동","일반","3**","신정로","자연녹지","제1종근린생활","25m미만","60.02","158.00","23,000","","개인","개인","202502","14","","2005","-","직거래","-"
"18","경기도 부천시 원미구 중동","집합","1128-2","부흥로303번길","중심상업","교육연구","25m이상","237.57"," ","61,500","4","개인","개인","202502","14","","2002","-","중개거래","경기 부천시 원미구"
"19","경기도 안산시 단원구 고잔동","집합","542-2","안산천서로","일반상업","제2종근린생활","25m미만","58.32"," ","15,000","","개인","개인","202502","14","","1990","-","중개거래","경기 안산시 단원구"
"20","경기도 안산시 단원구 고잔동","집합","773-9","광덕2로","중심상업","기타","25m미만","87.01"," ","22,400","","개인","개인","202502","14","","2002","-","중개거래","경기 안산시 단원구"
"21","경기도 안산시 단원구 고잔동","집합","773-9","광덕2로","중심상업","기타","25m미만","78.54"," ","20,600","","개인","개인","202502","14","","2002","-","중개거래","경기 안산시 단원구"
"22","경기도 부천시 원미구 상동","집합","399","상일로","제3종일반주거","제2종근린생활","25m이상","26.00"," ","2,500","","개인","개인","202502","14","","1994","-","중개거래","경기 부천시 원미구"
"23","경기도 양평군 용문면 다문리","일반","5**","연수로","자연녹지","제2종근린생활","8m미만","99.91","401.00","111,683","","법인","개인","202502","14","","2019","-","직거래","-"
"24","경기도 양평군 용문면 다문리","일반","5**","연수로","자연녹지","제2종근린생활","8m미만","114.15","483.00","123,162","","법인","개인","202502","14","","2019","-","직거래","-"
"25","경기도 용인시 수지구 신봉동","집합","967-1","","일반상업","교육연구","25m이상","119.66"," ","35,500","5","개인","개인","202502","14","","2010","-","중개거래","경기 용인시 수지구"
"26","경기도 안양시 동안구 평촌동","집합","932-6","부림로","제3종일반주거","제1종근린생활","25m이상","256.00"," ","2,200","","개인","개인","202502","14","지분","1992","-","중개거래","경기 안양시 동안구"
"27","경기도 남양주시 화도읍 묵현리","집합","628","비룡로","제2종일반주거","제2종근린생활","25m이상","28.88"," ","19,000","","개인","개인","202502","14","","2020","-","중개거래","경기 남양주시"
"28","경기도 남양주시 화도읍 마석우리","집합","383-2","비룡로","일반상업","제1종근린생활","25m미만","30.51"," ","7,600","4","개인","개인","202502","14","","2004","-","직거래","-"
"29","경기도 남양주시 화도읍 마석우리","집합","383-2","비룡로","일반상업","제1종근린생활","25m미만","108.58"," ","27,400","4","개인","개인","202502","14","","2004","-","직거래","-"
"30","경기도 성남시 분당구 야탑동","집합","502","야탑로","근린상업","기타","25m이상","12.49"," ","4,050","","법인","개인","202502","14","지분","1997","-","직거래","-"
"31","경기도 성남시 분당구 야탑동","집합","502","야탑로","근린상업","기타","25m이상","12.49"," ","4,050","","법인","개인","202502","14","지분","1997","-","직거래","-"
"32","경기도 시흥시 정왕동","집합","1875-5","옥구천동로","제2종일반주거","제1종근린생활","25m이상","21.45"," ","26,300","1","개인","개인","202502","14","","","-","중개거래","경기 시흥시"
"33","경기도 의정부시 민락동","집합","905","용민로","준주거","판매","25m이상","108.12"," ","152,315","1","법인","법인","202502","14","","2017","-","직거래","-"
"34","경기도 남양주시 금곡동","집합","776","사릉로58번길","제3종일반주거","제2종근린생활","12m미만","104.31"," ","15,000","2","개인","개인","202502","14","","2008","-","중개거래","경기 포천시"
"35","경기도 수원시 권선구 권선동","일반","1***","경수대로384번길","중심상업","제2종근린생활","12m미만","423.09","229.70","195,000","","법인","법인","202502","14","","1994","-","중개거래","경기 수원시 팔달구"
"36","경기도 남양주시 삼패동","일반","2**","경강로334번길","제1종일반주거","제2종근린생활","8m미만","398.59","625.00","225,000","","법인","개인","202502","14","","2012","-","중개거래","경기 남양주시"
"37","경기도 성남시 분당구 서현동","집합","256","서현로180번길","중심상업","판매","25m미만","10.56"," ","2,000","","개인","개인","202502","14","지분","1999","-","중개거래","경기 성남시 분당구"
"38","경기도 성남시 분당구 서현동","집합","304","돌마로476번길","준주거","제1종근린생활","25m미만","8.10"," ","3,100","1","개인","개인","202502","14","","1992","-","직거래","-"
"39","경기도 화성효행구 비봉면 양노리","일반","2**","양노로","일반상업","제1종근린생활","12m미만","184.11","369.00","51,500","","법인","개인","202502","14","","1994","20250307","중개거래","경기 화성시"
"40","경기도 화성효행구 정남면 금복리","일반","8*","정남동로","계획관리","제2종근린생활","12m미만","167.80","522.00","72,088","","법인","개인","202502","14","","2005","20250225","중개거래","경기 오산시"
"41","경기도 화성만세구 새솔동","집합","131-2","큰나래2길","준주거","제1종근린생활","25m이상","44.07"," ","21,653","3","기타","법인","202502","14","","2024","-","직거래","-"
"42","경기도 화성만세구 새솔동","집합","131-2","큰나래2길","준주거","제1종근린생활","25m이상","98.12"," ","48,376","3","기타","법인","202502","14","","2024","-","직거래","-"
"43","경기도 화성효행구 정남면 금복리","일반","8*","정남동로","계획관리","제2종근린생활","12m미만","167.80","522.00","72,088","","법인","개인","202502","14","","","-","중개거래","경기 오산시"
"44","경기도 화성만세구 새솔동","집합","131-2","큰나래2길","준주거","제1종근린생활","25m이상","52.89"," ","25,385","3","기타","법인","202502","14","","2024","-","직거래","-"
"45","경기도 성남시 분당구 서현동","집합","255-1","서현로","중심상업","제2종근린생활","25m이상","451.83"," ","253,000","3","개인","개인","202502","14","","2004","-","중개거래","경기 성남시 분당구, 서울 중구"
"46","경기도 화성만세구 새솔동","집합","131-2","큰나래2길","준주거","제1종근린생활","25m이상","92.07"," ","45,311","3","기타","법인","202502","14","","2024","-","직거래","-"
"47","경기도 수원시 팔달구 매산로1가","집합","16","향교로1번길","일반상업","숙박","12m미만","20.23"," ","9,500","11","개인","개인","202502","14","","2019","-","중개거래","경기 수원시 팔달구"
"48","경기도 화성만세구 새솔동","집합","131-2","큰나래2길","준주거","제1종근린생활","25m이상","77.40"," ","38,029","3","기타","법인","202502","14","","2024","-","직거래","-"
"49","경기도 의정부시 민락동","집합","905","용민로","준주거","제2종근린생활","25m이상","52.40"," ","52,685","1","법인","법인","202502","14","","2017","-","직거래","-"
"50","경기도 고양시 덕양구 지축동","집합","1057-2","지축로","일반상업","제1종근린생활","25m이상","76.80"," ","26,500","5","법인","법인","202502","14","","2022","-","직거래","-"
"51","경기도 고양시 덕양구 지축동","집합","1057-2","지축로","일반상업","제1종근린생활","25m이상","73.20"," ","24,592","5","법인","법인","202502","14","","2022","-","직거래","-"
"52","경기도 의정부시 의정부동","일반","3*","호국로1346번길","일반상업","제1종근린생활","8m미만","712.79","9.46","9,150","","법인","개인","202502","14","지분","1973","-","중개거래","경기 의정부시"
"53","경기도 고양시 덕양구 지축동","집합","1057-2","지축로","일반상업","제1종근린생활","25m이상","73.20"," ","27,030","5","법인","법인","202502","14","","2022","-","직거래","-"
"54","경기도 고양시 덕양구 지축동","집합","1057-2","지축로","일반상업","제1종근린생활","25m이상","76.94"," ","30,740","5","법인","법인","202502","14","","2022","-","직거래","-"
"55","경기도 화성만세구 새솔동","집합","131-2","큰나래2길","준주거","제1종근린생활","25m이상","88.37"," ","43,419","3","기타","법인","202502","14","","2024","-","직거래","-"
"56","경기도 군포시 산본동","일반","1***","수리산로","제3종일반주거","제1종근린생활","25m미만","1302.28","43.27","10,400","","개인","개인","202502","14","지분","","-","중개거래","경기 군포시"
"57","경기도 광주시 신현동","일반","6**","신현로","계획관리","제2종근린생활","25m미만","698.72","700.00","440,000","","개인","개인","202502","14","","2016","-","중개거래","경기 광주시"
"58","경기도 화성만세구 새솔동","집합","131-2","큰나래2길","준주거","제1종근린생활","25m이상","66.53"," ","32,688","3","기타","법인","202502","14","","2024","-","직거래","-"
"59","경기도 성남시 분당구 서현동","집합","304","돌마로476번길","준주거","제1종근린생활","25m미만","8.10"," ","3,100","1","개인","개인","202502","14","","1992","-","직거래","-"
"60","경기도 고양시 덕양구 지축동","집합","1057-2","지축로","일반상업","제1종근린생활","25m이상","75.64"," ","25,758","5","법인","법인","202502","14","","2022","-","직거래","-"
"61","경기도 수원시 권선구 고색동","집합","1181","호매실로","일반상업","제1종근린생활","25m미만","101.64"," ","72,292","3","개인","법인","202502","14","","2022","-","직거래","-"
"62","경기도 광명시 일직동","집합","515","일직로","준주거","업무","25m이상","25.87"," ","12,193","","개인","개인","202502","14","","2019","-","중개거래","경기 광명시"
"63","경기도 수원시 권선구 권선동","일반","1***","경수대로384번길","중심상업","제2종근린생활","12m미만","114.48","201.80","165,000","","법인","개인","202502","14","","1990","-","중개거래","경기 수원시 팔달구"
"64","경기도 성남시 분당구 정자동","집합","209","불정로","제2종일반주거","기타","12m미만","28.04"," ","25,000","","개인","개인","202502","14","","2005","-","직거래","-"
"65","경기도 수원시 권선구 고색동","집합","1181","호매실로","일반상업","제1종근린생활","25m미만","65.34"," ","47,573","3","개인","법인","202502","14","","2022","-","직거래","-"
"66","경기도 수원시 권선구 고색동","집합","1181","호매실로","일반상업","제1종근린생활","25m미만","72.60"," ","51,654","3","개인","법인","202502","14","","2022","-","직거래","-"
"67","경기도 화성만세구 새솔동","집합","131-2","큰나래2길","준주거","제1종근린생활","25m이상","44.33"," ","21,781","3","기타","법인","202502","14","","2024","-","직거래","-"
"68","경기도 광명시 일직동","집합","515","일직로","준주거","업무","25m이상","25.87"," ","12,233","","개인","개인","202502","14","","2019","-","중개거래","경기 광명시"
"69","경기도 수원시 권선구 고색동","집합","1181","호매실로","일반상업","제1종근린생활","25m미만","119.56"," ","85,001","3","개인","법인","202502","14","","2022","-","직거래","-"
"70","경기도 수원시 권선구 고색동","집합","1181","호매실로","일반상업","제1종근린생활","25m미만","68.68"," ","42,909","3","개인","법인","202502","14","","2022","-","직거래","-"
"71","경기도 수원시 권선구 고색동","집합","1181","호매실로","일반상업","제1종근린생활","25m미만","101.64"," ","72,292","3","개인","법인","202502","14","","2022","-","직거래","-"
"72","경기도 수원시 팔달구 우만동","일반","6*","아주로39번길","제2종일반주거","제2종근린생활","12m미만","767.88","312.00","252,000","","법인","개인","202502","14","","","-","중개거래","경기 수원시 팔달구"
"73","경기도 용인시 기흥구 보정동","집합","1195-2","죽전로","일반상업","제2종근린생활","25m이상","46.00"," ","89,000","1","개인","개인","202502","14","","2005","-","중개거래","경기 용인시 기흥구"
"74","경기도 성남시 분당구 야탑동","집합","342-2","장미로48번길","중심상업","제1종근린생활","25m미만","37.44"," ","20,000","1","개인","개인","202502","14","","2003","-","중개거래","경기 성남시 분당구"
"75","경기도 성남시 분당구 야탑동","집합","502","야탑로","근린상업","판매","25m이상","12.26"," ","3,600","","법인","개인","202502","14","지분","1997","-","직거래","-"
"76","경기도 고양시 덕양구 화정동","집합","968-4","화중로","중심상업","제2종근린생활","25m미만","172.40"," ","12,500","","개인","개인","202502","13","","1996","-","중개거래","경기 고양시 덕양구"
"77","경기도 수원시 팔달구 구천동","일반","4*","매산로155번길","일반상업","숙박","8m미만","1139.82","219.00","325,000","","개인","개인","202502","13","","2018","-","중개거래","경기 수원시 팔달구"
"78","경기도 성남시 분당구 대장동","집합","627-4","판교대장로6길","준주거","제2종근린생활","-","30.10"," ","42,500","2","개인","개인","202502","13","","","-","중개거래","경기 성남시 분당구"
"79","경기도 수원시 권선구 호매실동","집합","1398-1","호매실로90번길","일반상업","제2종근린생활","25m미만","110.66"," ","107,000","2","법인","법인","202502","13","","2021","-","직거래","-"
"80","경기도 수원시 권선구 호매실동","집합","1398-1","호매실로90번길","일반상업","제2종근린생활","25m미만","50.41"," ","48,500","2","법인","법인","202502","13","","2021","-","직거래","-"
"81","경기도 수원시 권선구 호매실동","집합","1398-1","호매실로90번길","일반상업","제2종근린생활","25m미만","50.41"," ","48,500","2","법인","법인","202502","13","","2021","-","직거래","-"
"82","경기도 수원시 권선구 호매실동","집합","1398-1","호매실로90번길","일반상업","제2종근린생활","25m미만","75.90"," ","73,000","2","법인","법인","202502","13","","2021","-","직거래","-"
"83","경기도 성남시 분당구 삼평동","집합","633","판교로228번길","준주거","업무","25m미만","507.82"," ","650,000","3","법인","법인","202502","13","","2009","-","직거래","-"
"84","경기도 시흥시 장곡동","집합","934-3","진말1로","준주거","제2종근린생활","25m미만","41.06"," ","66,560","1","개인","법인","202502","13","","2024","-","직거래","-"
"85","경기도 수원시 팔달구 매산로1가","집합","16","향교로1번길","일반상업","숙박","12m미만","20.23"," ","9,800","12","개인","개인","202502","13","","2019","-","중개거래","경기 수원시 팔달구"
"86","경기도 수원시 팔달구 매산로1가","집합","16","향교로1번길","일반상업","숙박","12m미만","21.75"," ","10,500","11","개인","개인","202502","13","","2019","-","중개거래","경기 수원시 팔달구"
"87","경기도 성남시 분당구 삼평동","집합","633","판교로228번길","준주거","업무","25m미만","507.82"," ","650,000","2","법인","법인","202502","13","","2009","-","직거래","-"
"88","경기도 여주시 월송동","집합","388-29","여주남로","계획관리","제1종근린생활","12m미만","40.95"," ","6,000","2","개인","개인","202502","13","","2005","-","중개거래","경기 여주시"
"89","경기도 과천시 별양동","집합","1-18","별양상가2로","일반상업","판매","12m미만","11.54"," ","17,000","","개인","개인","202502","13","","1985","-","중개거래","경기 과천시"
"90","경기도 의정부시 신곡동","집합","603-34","경의로193번길","제1종일반주거","제1종근린생활","8m미만","15.66"," ","12,000","1","개인","개인","202502","13","","2024","20251031","중개거래","경기 의정부시"
"91","경기도 화성만세구 팔탄면 창곡리","일반","3**","언창길","계획관리","제2종근린생활","8m미만","257.50","430.00","37,240","","개인","법인","202502","13","","2001","-","직거래","-"
