"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2023-02-16 ~ 2024-02-15"
"실거래구분 : 상업업무용(매매)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","매수","매도","계약년월","계약일","지분구분","건축년도","해제사유발생일","거래유형","중개사소재지"
"1","대전광역시 서구 내동","집합","220-11","신갈마로","제2종일반주거","제1종근린생활","25m미만","90.83"," ","9,500","","개인","개인","202402","15","지분","2006","-","직거래","-"
"2","대전광역시 유성구 구암동","일반","5**","계룡로18번길","제2종일반주거","제2종근린생활","12m미만","297.54","345.00","107,500","","법인","개인","202402","14","","1988","-","중개거래","대전 유성구"
"3","대전광역시 대덕구 중리동","집합","368-7","중리북로37번길","제3종일반주거","제1종근린생활","12m미만","13.77"," ","24,000","","개인","개인","202402","14","","1987","20240227","중개거래","충남 계룡시"
"4","대전광역시 대덕구 중리동","일반","3**","중리북로37번길","제3종일반주거","제2종근린생활","12m미만","435.28","190.50","59,500","","개인","개인","202402","13","","1991","-","중개거래","대전 대덕구"
"5","대전광역시 유성구 봉명동","집합","553-2","계룡로","일반상업","제1종근린생활","25m이상","104.36"," ","67,900","1","개인","개인","202402","13","","2008","-","중개거래","대전 유성구"
"6","대전광역시 서구 괴정동","집합","5-9","계룡로","기타","제1종근린생활","25m이상","166.21"," ","21,000","8","개인","개인","202402","13","","2006","-","중개거래","대전 유성구"
"7","대전광역시 서구 둔산동","집합","1082","둔산로","준주거","제1종근린생활","25m이상","245.90"," ","7,500","","개인","개인","202402","12","","1995","-","중개거래","대전 서구"
"8","대전광역시 유성구 원신흥동","일반","5**","동서대로","준주거","제1종근린생활","25m이상","1848.13","488.20","555,000","","법인","개인","202402","10","","2012","-","중개거래","대전 서구"
"9","대전광역시 유성구 도룡동","집합","399-8","대덕대로","근린상업","판매","25m이상","31.16"," ","2,400","","개인","개인","202402","08","","1992","-","중개거래","대전 유성구"
"10","대전광역시 중구 옥계동","일반","5*","대종로","제2종전용주거","제1종근린생활","25m이상","72.00","237.30","44,000","","개인","개인","202402","08","","1994","-","직거래","-"
"11","대전광역시 중구 문화동","집합","1-31","계룡로","일반상업","제1종근린생활","25m이상","155.96"," ","32,465","1","개인","법인","202402","08","","2010","-","직거래","-"
"12","대전광역시 중구 문화동","일반","4**","천근로","제2종일반주거","제2종근린생활","25m미만","76.00","227.10","66,500","","법인","개인","202402","08","","2003","-","중개거래","대전 중구"
