"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2023-02-16 ~ 2024-02-15"
"실거래구분 : 상업업무용(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","매수","매도","계약년월","계약일","지분구분","건축년도","해제사유발생일","거래유형","중개사소재지"
"1","서울특별시 동대문구 회기동","일반","3*","경희대로","제3종일반주거","제1종근린생활","25m미만","527.48","169.00","660,000","","법인","개인","202402","15","","1966","-","중개거래","서울 서초구"
"2","서울특별시 영등포구 여의도동","집합","44-23","의사당대로1길","일반상업","제2종근린생활","25m미만","34.66"," ","91,200","1","법인","법인","202402","15","","1982","-","직거래","-"
"3","서울특별시 동대문구 전농동","일반","6**","왕산로","일반상업","제1종근린생활","25m이상","103.41","12.22","10,000","","개인","개인","202402","15","지분","1947","-","직거래","-"
"4","서울특별시 노원구 월계동","집합","469-3","광운로","제2종일반주거","제1종근린생활","25m미만","23.76"," ","27,500","1","법인","법인","202402","15","","1997","-","직거래","-"
"5","서울특별시 노원구 월계동","집합","469-3","광운로","제2종일반주거","제1종근린생활","25m미만","21.72"," ","27,500","1","법인","법인","202402","15","","1997","-","직거래","-"
"6","서울특별시 중구 을지로3가","일반","2**","을지로18길","일반상업","제2종근린생활","8m미만","66.94","46.00","171,000","","법인","개인","202402","15","","","-","중개거래","서울 중구"
"7","서울특별시 강남구 도곡동","집합","895-8","논현로","제3종일반주거","교육연구","25m이상","23.57"," ","60,000","1","개인","개인","202402","15","","1988","-","중개거래","서울 강남구"
"8","서울특별시 종로구 평창동","일반","1**","평창11길","제2종일반주거","제2종근린생활","8m미만","518.47","303.00","300,000","","법인","법인","202402","15","","1991","-","직거래","-"
"9","서울특별시 마포구 아현동","집합","437-3","마포대로","준주거","업무","25m이상","19.60"," ","12,750","","개인","개인","202402","15","","1987","-","중개거래","서울 마포구"
"10","서울특별시 용산구 한강로2가","집합","14-18","청파로","일반상업","업무","12m미만","36.95"," ","23,300","8","개인","개인","202402","15","","2010","-","중개거래","서울 용산구"
"11","서울특별시 영등포구 여의도동","집합","44-23","의사당대로1길","일반상업","제2종근린생활","25m미만","22.68"," ","31,900","1","법인","법인","202402","15","","1982","-","직거래","-"
"12","서울특별시 영등포구 여의도동","집합","44-23","의사당대로1길","일반상업","제2종근린생활","25m미만","26.62"," ","37,400","1","법인","법인","202402","15","","1982","-","직거래","-"
"13","서울특별시 강남구 논현동","일반","1**","학동로2길","제2종일반주거","제2종근린생활","12m미만","717.92","164.80","760,000","","법인","개인","202402","15","","2017","-","중개거래","서울 강남구"
"14","서울특별시 영등포구 여의도동","집합","44-23","의사당대로1길","일반상업","제2종근린생활","25m미만","36.76"," ","96,650","1","법인","법인","202402","15","","1982","-","직거래","-"
"15","서울특별시 영등포구 여의도동","집합","44-23","의사당대로1길","일반상업","제2종근린생활","25m미만","38.47"," ","101,000","1","법인","법인","202402","15","","1982","-","직거래","-"
"16","서울특별시 영등포구 여의도동","집합","44-23","의사당대로1길","일반상업","제2종근린생활","25m미만","36.03"," ","94,750","1","법인","법인","202402","15","","1982","-","직거래","-"
"17","서울특별시 용산구 이태원동","일반","9*","녹사평대로26길","제2종일반주거","제1종근린생활","25m미만","142.19","73.00","217,000","","법인","개인","202402","15","","1994","20240329","중개거래","서울 강남구"
"18","서울특별시 서대문구 홍은동","집합","274-55","모래내로","준주거","제2종근린생활","8m미만","39.13"," ","18,000","2","개인","개인","202402","15","","2014","-","직거래","-"
"19","서울특별시 용산구 이태원동","일반","9*","녹사평대로26길","제2종일반주거","제1종근린생활","25m미만","142.19","75.00","217,000","","법인","개인","202402","15","","","-","중개거래","서울 강남구"
"20","서울특별시 영등포구 양평동4가","일반","1**","양평로","준공업","업무","25m이상","3773.07","710.80","2,500,000","","개인","법인","202402","15","","2018","-","중개거래","서울 강남구"
"21","서울특별시 마포구 상암동","집합","1684","상암산로1길","제3종일반주거","제2종근린생활","12m미만","117.42"," ","28,000","","개인","개인","202402","15","","2005","-","중개거래","서울 마포구"
"22","서울특별시 동대문구 장안동","일반","3**","장한로","제3종일반주거","제2종근린생활","25m이상","1385.99","504.70","480,000","","법인","개인","202402","15","","","20240430","중개거래","서울 동대문구"
"23","서울특별시 서대문구 창천동","일반","3*","신촌로","일반상업","제1종근린생활","12m미만","408.90","123.30","390,000","","개인","개인","202402","15","","1983","20240729","중개거래","서울 중구"
