"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-02-16 ~ 2025-02-15"
"실거래구분 : 상업업무용(매매)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","매수","매도","계약년월","계약일","지분구분","건축년도","해제사유발생일","거래유형","중개사소재지"
"1","인천광역시 미추홀구 용현동","일반","5**","","준주거","제2종근린생활","25m미만","71.32","55.30","11,000","","개인","개인","202502","15","","1979","20250228","중개거래","인천 미추홀구"
"2","인천광역시 중구 중산동","집합","1953-2","은하수로29번길","일반상업","숙박","25m이상","23.04"," ","5,000","10","법인","개인","202502","15","","2015","-","직거래","-"
"3","인천광역시 중구 중산동","집합","1953-2","은하수로29번길","일반상업","숙박","25m이상","23.04"," ","6,000","13","법인","개인","202502","15","","2015","-","직거래","-"
"4","인천광역시 중구 중산동","집합","1953-2","은하수로29번길","일반상업","숙박","25m이상","23.04"," ","6,000","13","법인","개인","202502","15","","2015","-","직거래","-"
"5","인천광역시 연수구 송도동","집합","30-3","인천타워대로","중심상업","업무","25m이상","145.03"," ","29,250","21","개인","개인","202502","15","지분","2011","-","직거래","-"
"6","인천광역시 남동구 논현동","집합","746-3","논고개로","일반상업","제2종근린생활","25m이상","69.36"," ","30,000","2","개인","개인","202502","15","","2013","-","중개거래","인천 남동구"
"7","인천광역시 연수구 송도동","집합","4-1","해돋이로","중심상업","판매","25m이상","36.27"," ","28,550","","기타","개인","202502","15","","2009","-","중개거래","인천 연수구"
"8","인천광역시 중구 중산동","집합","1953-2","은하수로29번길","일반상업","숙박","25m이상","21.65"," ","7,000","13","법인","개인","202502","15","","2015","-","직거래","-"
"9","인천광역시 중구 중산동","집합","1953-2","은하수로29번길","일반상업","숙박","25m이상","23.04"," ","6,000","13","법인","개인","202502","15","","2015","-","직거래","-"
"10","인천광역시 중구 중산동","집합","1953-2","은하수로29번길","일반상업","숙박","25m이상","21.65"," ","5,500","6","법인","개인","202502","15","","2015","-","직거래","-"
"11","인천광역시 중구 중산동","집합","1953-2","은하수로29번길","일반상업","숙박","25m이상","21.65"," ","7,000","11","법인","법인","202502","15","","2015","-","직거래","-"
"12","인천광역시 중구 중산동","집합","1953-2","은하수로29번길","일반상업","숙박","25m이상","21.65"," ","6,000","13","법인","개인","202502","15","","2015","-","직거래","-"
"13","인천광역시 미추홀구 도화동","일반","1**","석정로333번길","제2종일반주거","제2종근린생활","8m미만","792.04","578.30","138,000","","기타","법인","202502","14","","1988","-","중개거래","인천 연수구"
"14","인천광역시 동구 송림동","집합","57-29","샛골로141번길","일반상업","제2종근린생활","8m미만","74.01"," ","13,600","2","개인","개인","202502","14","","2010","-","직거래","-"
"15","인천광역시 미추홀구 도화동","일반","1**","석정로333번길","제2종일반주거","제2종근린생활","8m미만","792.04","578.30","138,000","","기타","법인","202502","14","","1988","20250417","중개거래","인천 연수구"
"16","인천광역시 연수구 송도동","집합","29-12","센트럴로","중심상업","숙박","25m이상","83.29"," ","64,000","25","법인","개인","202502","14","","2024","-","중개거래","인천 연수구"
"17","인천광역시 미추홀구 주안동","집합","764-8","","준주거","제2종근린생활","12m미만","41.21"," ","6,700","2","개인","개인","202502","14","","2011","-","중개거래","인천 남동구, 인천 미추홀구"
"18","인천광역시 남동구 고잔동","집합","630","은청로","일반상업","판매","25m이상","33.15"," ","23,000","1","개인","개인","202502","14","","1998","-","중개거래","인천 부평구"
