"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-02-16 ~ 2025-02-15"
"실거래구분 : 상업업무용(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","매수","매도","계약년월","계약일","지분구분","건축년도","해제사유발생일","거래유형","중개사소재지"
"1","충청북도 청주시 상당구 금천동","일반","2**","수영로259번길","제2종일반주거","제1종근린생활","12m미만","329.22","244.00","52,000","","개인","개인","202502","15","","1992","-","중개거래","충북 청주시 청원구"
"2","충청북도 보은군 수한면 발산리","일반","2**","안내보은로","계획관리","숙박","12m미만","768.73","1204.00","15,000","","개인","개인","202502","15","","2002","-","직거래","-"
"3","충청북도 청주시 상당구 용암동","집합","3077","중고개로","일반상업","업무","25m이상","92.82"," ","39,500","2","개인","개인","202502","15","","2021","-","중개거래","충북 청주시 상당구, 충북 청주시 흥덕구"
"4","충청북도 제천시 하소동","집합","56-1","하소로","제2종일반주거","제2종근린생활","25m미만","22.20"," ","2,000","1","개인","개인","202502","14","","1998","-","중개거래","충북 제천시"
"5","충청북도 증평군 증평읍 초중리","집합","535-2","초중8길","제2종일반주거","제1종근린생활","12m미만","79.12"," ","6,300","1","기타","개인","202502","14","","2008","-","중개거래","충북 증평군"
"6","충청북도 괴산군 청천면 사담리","일반","3*","괴산로사담1길","계획관리","제1종근린생활","8m미만","27.00","434.00","15,000","","개인","개인","202502","14","","2017","-","직거래","-"
"7","충청북도 제천시 고명동","일반","4**","단양로","계획관리","제2종근린생활","25m이상","197.01","2103.00","61,400","","법인","개인","202502","14","","2019","-","직거래","-"
"8","충청북도 충주시 연수동","집합","1325","번영대로","제2종일반주거","기타","25m이상","55.44"," ","7,000","2","개인","개인","202502","13","","2018","-","직거래","-"
"9","충청북도 진천군 진천읍 신정리","일반","5**","문화로","자연녹지","제2종근린생활","25m미만","98.00","892.00","45,000","","법인","개인","202502","13","","2003","-","중개거래","충북 진천군"
"10","충청북도 단양군 단양읍 상진리","집합","4-1","삼봉로","자연녹지","숙박","25m미만","40.80"," ","500","6","개인","개인","202502","13","지분","2004","-","직거래","-"
"11","충청북도 단양군 단양읍 상진리","집합","4-1","삼봉로","자연녹지","숙박","25m미만","59.50"," ","2,000","2","법인","법인","202502","13","지분","2004","-","직거래","-"
"12","충청북도 충주시 연수동","집합","1325","번영대로","제2종일반주거","제2종근린생활","25m이상","55.44"," ","7,000","2","개인","개인","202502","13","","2018","-","직거래","-"
"13","충청북도 영동군 영동읍 계산리","일반","6**","중앙로1길","일반상업","제1종근린생활","8m미만","153.54","98.80","25,000","","개인","개인","202502","12","","1991","20250227","직거래","-"
"14","충청북도 청주시 서원구 사창동","일반","3**","내수동로","준주거","제2종근린생활","12m미만","391.74","24.80","7,700","","개인","개인","202502","11","지분","2014","-","직거래","-"
"15","충청북도 진천군 초평면 진암리","일반","3**","","계획관리","제1종근린생활","8m미만","161.12","181.00","7,118","","법인","개인","202502","10","","1993","-","직거래","-"
"16","충청북도 청주시 청원구 오창읍 송대리","집합","318-3","중부로","일반상업","숙박","25m미만","21.45"," ","3,990","18","개인","개인","202502","10","","2019","-","중개거래","충북 청주시 흥덕구"
"17","충청북도 청주시 서원구 개신동","집합","696","복대로","준주거","교육연구","25m이상","239.40"," ","30,000","5","개인","개인","202502","10","","2003","-","직거래","-"
"18","충청북도 진천군 덕산읍 용몽리","집합","627","덕금로","제2종일반주거","제1종근린생활","25m미만","50.01"," ","16,500","1","개인","개인","202502","10","","2018","-","직거래","-"
"19","충청북도 제천시 신월동","집합","1138-1","바이오밸리로","자연녹지","판매","25m이상","43.80"," ","8,800","","개인","개인","202502","10","","2005","-","직거래","-"
"20","충청북도 진천군 초평면 진암리","일반","3**","구정로","계획관리","제2종근린생활","12m미만","171.60","1497.00","58,869","","법인","개인","202502","10","","1992","-","직거래","-"
"21","충청북도 단양군 단양읍 상진리","집합","4-1","삼봉로","자연녹지","숙박","25m미만","59.50"," ","1,800","7","법인","법인","202502","10","지분","2004","-","직거래","-"
